,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
329,"USD $271,705","Thanisandra, Bangalore, Karnataka",3,3,"1,947.00 sq ft",Apartment
330,"USD $280,162","Thanisandra, Bangalore, Karnataka",3,3,"2,008.00 sq ft",Apartment
331,"USD $304,528","Thanisandra, Bangalore, Karnataka",3,3,"2,182.00 sq ft",Apartment
332,"USD $304,402","Thanisandra, Bangalore, Karnataka",3,3,"2,181.00 sq ft",Apartment
333,"USD $279,981","Thanisandra, Bangalore, Karnataka",3,3,"2,006.00 sq ft",Apartment
334,"USD $386,064","Thanisandra, Bangalore, Karnataka",3,3,"2,005.00 sq ft",Apartment
335,"USD $279,590","Thanisandra, Bangalore, Karnataka",3,3,"2,004.00 sq ft",Apartment
336,"USD $90,145","Perungalathur, Chennai, Tamil Nadu",2,2,954.00 sq ft,Apartment
337,"USD $266,068","Thanisandra, Bangalore, Karnataka",3,3,"1,907.00 sq ft",Apartment
338,"USD $202,028","Thanisandra, Bangalore, Karnataka",2,2,"1,448.00 sq ft",Apartment
339,"USD $359,411","Thanisandra, Bangalore, Karnataka",3,3,"2,010.00 sq ft",Apartment
340,"USD $178,513","Thanisandra, Bangalore, Karnataka",2,2,"1,279.00 sq ft",Apartment
341,"USD $233,762","Thanisandra, Bangalore, Karnataka",3,3,"1,675.00 sq ft",Apartment
342,"USD $266,375","Thanisandra, Bangalore, Karnataka",3,3,"1,909.00 sq ft",Apartment
343,"USD $184,891","Thanisandra, Bangalore, Karnataka",2,2,"1,325.00 sq ft",Apartment
344,"USD $282,144","Thanisandra, Bangalore, Karnataka",3,3,"2,022.00 sq ft",Apartment
345,"USD $279,771","Thanisandra, Bangalore, Karnataka",3,3,"2,005.00 sq ft",Apartment
346,"USD $235,073","Thanisandra, Bangalore, Karnataka",3,3,"1,685.00 sq ft",Apartment
347,"USD $184,500","Thanisandra, Bangalore, Karnataka",2,2,"1,322.00 sq ft",Apartment
348,,"Gota, Ahmedabad, Gujarat",,,,Unit
349,"USD $719,387","Hebbal, Bangalore, Karnataka",4,4,"3,975.00 sq ft",Apartment
